t_sec,pid,parent,name,ws_mb,pb_mb
273.5,33052,26348,msedgewebview2.exe,150.2,50.3
273.5,15880,26348,audio_server.exe,222.4,287
273.5,34040,33052,msedgewebview2.exe,14.2,3
273.5,18344,34040,msedgewebview2.exe,13.5,2.8
273.5,13020,33052,msedgewebview2.exe,103.7,120.8
273.5,34932,33052,msedgewebview2.exe,42.1,12.9
273.5,25792,33052,msedgewebview2.exe,22.6,8.8
273.5,4360,33052,msedgewebview2.exe,202.3,145.2
278.8,26348,36732,audio-desktop.exe,50.5,14.3
278.8,33052,26348,msedgewebview2.exe,150.2,50.3
278.8,15880,26348,audio_server.exe,222.4,287
278.8,34040,33052,msedgewebview2.exe,14.2,2.9
278.8,18344,34040,msedgewebview2.exe,13.4,2.7
278.8,13020,33052,msedgewebview2.exe,103.7,120.8
278.8,34932,33052,msedgewebview2.exe,42.1,12.9
278.8,25792,33052,msedgewebview2.exe,22.6,8.8
278.8,4360,33052,msedgewebview2.exe,202.3,145.2
284,26348,36732,audio-desktop.exe,50.5,14.3
284,33052,26348,msedgewebview2.exe,150.2,50.3
284,15880,26348,audio_server.exe,222.4,287
284,34040,33052,msedgewebview2.exe,14.2,3
284,18344,34040,msedgewebview2.exe,13.5,2.7
284,13020,33052,msedgewebview2.exe,103.7,120.8
284,34932,33052,msedgewebview2.exe,42.1,12.9
284,25792,33052,msedgewebview2.exe,22.6,8.8
284,4360,33052,msedgewebview2.exe,202.3,145.2
289.2,26348,36732,audio-desktop.exe,50.5,14.3
289.2,33052,26348,msedgewebview2.exe,150.2,50.3
289.2,15880,26348,audio_server.exe,222.4,287
